time,num,unit
2026-08-11T16:05:03.113490,231.12,度
2026-08-11T22:21:58.251594,231.12,度
2026-08-12T04:03:40.228232,220.8,度
2026-08-12T11:25:15.448606,207.22,度
2026-08-12T16:19:32.946124,207.22,度
2026-08-12T22:22:45.092881,201.0,度
2026-08-13T04:02:41.695162,201.0,度
2026-08-13T11:29:35.615185,187.46,度
2026-08-13T16:23:05.898050,187.46,度
2026-08-13T22:25:38.247136,180.62,度
2026-08-14T03:58:09.099095,180.62,度
2026-08-14T11:26:29.810202,169.16,度
2026-08-14T16:18:14.950955,169.16,度
2026-08-14T22:19:09.638930,169.16,度
2026-08-15T03:50:14.919189,163.96,度
2026-08-15T10:15:33.810777,163.96,度
2026-08-15T15:32:49.621364,154.41,度
2026-08-15T21:32:11.594150,154.41,度
2026-08-16T03:24:04.474294,145.64,度
2026-08-16T10:23:31.600697,129.99,度
2026-08-16T15:33:10.731296,129.99,度
2026-08-16T21:33:23.758725,129.99,度
2026-08-17T03:22:57.774634,115.87,度
2026-08-17T10:21:48.968024,92.18,度
2026-08-17T15:55:16.103264,92.18,度
